id (from)	id(to)	distance
4	1841	0,26
1841	2555	0,28
2555	573	0,17
573	2341	0,28
2341	566	0,47
566	1962	0,47
1962	1422	0,29
1422	1092	0,06
1092	1114	0,10
1114	1189	0,31
1189	1903	0,12
1903	106	0,06
106	626	0,57
626	183	0,12
183	2340	0,24
2340	1438	0,35
1438	1749	0,52
1749	2761	0,21
2761	1673	0,17
1673	1461	0,12
1461	209	0,51
209	318	0,10
318	2012	0,61
2012	2255	0,21
2255	60	0,17
60	597	0,12
597	2476	0,23
2476	1198	0,43
1198	1584	0,81
1584	1079	0,28
1079	2731	0,81
2731	1936	0,01
1936	478	0,17
478	5	0,28
5	2721	0,18
2721	392	0,23
392	989	0,69
989	600	0,19
600	867	0,21
867	1884	0,21
1884	180	0,41
180	1053	0,07
1053	2407	0,67
2407	1776	0,06
1776	1110	0,10
1110	1777	0,07
1777	2362	0,13
2362	1402	0,31
1402	2817	0,81
2817	1173	0,12
1173	1078	0,10
1078	571	0,27
571	1896	0,37
1896	2842	0,88
2842	563	0,09
563	2646	0,09
2646	300	0,45
300	456	0,47
456	2134	0,07
2134	691	0,11
691	2807	0,06
2807	602	0,09
602	2376	0,11
2376	1915	0,14
1915	2114	0,03
2114	439	0,24
439	1008	0,50
1008	25	0,09
25	246	0,25
246	1556	0,17
1556	1481	0,79
1481	2480	0,71
2480	19	0,48
19	333	0,69
333	2072	0,46
2072	2488	1,23
2488	723	0,20
723	767	0,15
767	2238	0,89
2238	2831	0,52
2831	2219	1,30
2219	903	2,04
903	472	0,13
472	2453	3,31
2453	522	0,17
522	1705	0,32
1705	2746	0,63
2746	542	0,64
542	2034	0,66
2034	2581	0,96
2581	2778	0,49
2778	1598	0,76
1598	308	1,07
308	974	0,89
974	415	1,00
415	2489	2,70
2489	2910	1,85
2910	282	2,18
282	779	0,13
779	2338	0,20
2338	1993	0,40
1993	899	0,57
899	1290	0,18
1290	1126	0,57
1126	1614	0,29
1614	1218	0,26
1218	1445	0,08
1445	77	0,56
77	587	0,57
587	1044	0,02
1044	2832	0,48
2832	939	0,07
939	2199	0,14
2199	796	0,78
796	142	0,33
142	2901	0,22
2901	277	0,60
277	853	0,49
853	901	0,63
901	2366	0,32
2366	2318	0,42
2318	1682	0,86
1682	1350	0,86
1350	986	0,18
986	936	1,00
936	2542	1,03
2542	2658	0,69
2658	1067	0,03
1067	73	1,09
73	2667	1,55
2667	2482	0,44
2482	2756	2,54
2756	218	1,80
218	459	0,11
459	2275	0,26
2275	1365	0,43
1365	2076	0,13
2076	866	0,03
866	948	0,65
948	1960	0,44
1960	1146	0,43
1146	446	0,05
446	2682	1,12
2682	1153	0,29
1153	1096	0,38
1096	2683	0,64
2683	1076	0,10
1076	2825	0,48
2825	496	0,24
496	235	0,59
235	2827	0,22
2827	549	0,40
549	402	0,76
402	421	0,25
421	790	0,68
790	745	0,33
745	2573	0,74
2573	822	0,10
822	254	1,85
254	216	2,34
216	271	0,34
271	965	0,05
965	1073	0,78
1073	191	0,93
191	1468	3,23
1468	930	0,16
930	774	0,23
774	375	6,24
375	1535	1,59
1535	1576	7,36
1576	2433	11,96
2433	2697	7,50
2697	380	7,78
380	1681	8,37
1681	1525	8,32
1525	2457	15,54
1525	2598	19,93
2598	2395	18,21
2395	2094	3,87
2094	1212	0,86
1212	2101	5,66
2101	1381	10,67
1381	1653	11,34
1653	612	11,42
612	1630	17,98
1630	1732	14,62
1732	1246	9,58
1246	1166	9,24
1166	265	16,21
265	521	13,70
521	1843	4,01
1843	1138	11,19
1138	2518	7,76
2518	1263	0,15
1263	1382	11,21
1382	1016	10,38
1016	2571	16,46
1263	463	17,05
