id (from)	id(to)	distance
4	1841	0,26
1841	2555	0,28
2555	573	0,17
573	2341	0,28
2341	566	0,47
566	1962	0,47
1962	1422	0,29
1422	1092	0,06
1092	1114	0,10
1114	1189	0,31
1189	1903	0,12
1903	106	0,06
106	626	0,57
626	183	0,12
183	2340	0,24
2340	1797	0,26
1797	1438	0,14
1438	2729	0,34
2729	167	0,23
167	1110	0,50
1110	1777	0,07
1777	2407	0,10
2407	1776	0,06
1776	2362	0,24
2362	1402	0,31
1402	867	0,78
867	1884	0,21
1884	600	0,25
600	989	0,19
989	180	0,24
180	1053	0,07
1053	1339	0,56
1339	2496	0,05
2496	1461	0,04
1461	1673	0,12
1673	1879	0,08
1879	2761	0,11
2761	1749	0,21
1749	318	0,54
318	209	0,10
209	2012	0,52
2012	2255	0,21
2255	2152	0,13
2152	60	0,06
60	597	0,12
597	2476	0,23
2476	1198	0,43
1198	809	0,41
809	1183	0,20
1183	1584	1,13
1584	1079	0,28
1079	2731	0,81
2731	1936	0,01
1936	1309	0,01
1309	478	0,17
478	5	0,28
5	2721	0,18
2721	392	0,23
392	2831	0,84
2831	2758	0,35
2758	1055	0,18
1055	1717	0,40
1717	2238	0,14
2238	767	0,89
767	723	0,15
723	2488	0,20
2488	1969	0,95
1969	1378	0,17
1378	2072	0,73
2072	1668	0,18
1668	333	0,32
333	19	0,69
19	2480	0,48
2480	2063	0,64
2063	1481	0,11
1481	456	0,48
456	2134	0,07
2134	691	0,11
691	2807	0,06
2807	602	0,09
602	2376	0,11
2376	1915	0,14
1915	2114	0,03
2114	439	0,24
439	1008	0,50
1008	25	0,09
25	246	0,25
246	1556	0,17
1556	1509	0,19
1509	300	0,44
300	563	0,41
563	2842	0,09
2842	2646	0,12
2646	1078	0,70
1078	1173	0,10
1173	2817	0,12
2817	1896	0,19
1896	571	0,37
571	2308	0,65
2308	408	0,23
408	1076	0,84
1076	2683	0,10
2683	2092	0,21
2092	2825	0,30
2825	496	0,24
496	163	0,42
163	1468	0,51
1468	930	0,16
930	774	0,23
774	1454	0,85
1454	235	0,75
235	2827	0,22
2827	549	0,40
549	402	0,76
402	421	0,25
421	2313	0,61
2313	2682	0,49
2682	1153	0,29
1153	2176	0,31
2176	1096	0,11
1096	2635	0,74
2635	271	0,29
271	965	0,05
965	216	0,37
216	2671	0,85
2671	1960	0,09
1960	1146	0,43
1146	446	0,05
446	2366	0,85
2366	901	0,32
901	2318	0,43
2318	853	0,78
853	1523	0,18
1523	277	0,54
277	1067	0,59
1067	2658	0,03
2658	2542	0,69
2542	73	0,70
73	2880	0,60
2880	2667	0,96
2667	2482	0,44
2482	2291	0,21
2291	2207	0,36
2207	1044	1,22
1044	587	0,02
587	2832	0,50
2832	939	0,07
939	2199	0,14
2199	905	0,11
905	2901	0,71
2901	142	0,22
142	796	0,33
796	1126	0,67
1126	1614	0,29
1614	1218	0,26
1218	1445	0,08
1445	77	0,56
77	2718	1,22
2718	2756	0,19
2756	1108	0,53
1108	1993	0,27
1993	779	0,35
779	282	0,13
282	2338	0,32
2338	1831	0,84
1831	1705	0,22
1705	522	0,32
522	2453	0,17
2453	2746	0,93
2746	542	0,64
542	389	0,56
389	2034	0,19
2034	2780	0,84
2780	2581	0,12
2581	69	0,38
69	2778	0,35
2778	1598	0,76
1598	308	1,07
308	974	0,89
974	415	1,00
415	2489	2,70
2489	2910	1,85
2910	2659	1,94
2659	472	3,71
472	903	0,13
903	2219	2,04
2219	1576	2,18
1576	375	5,89
375	1535	1,59
1535	822	8,90
822	2573	0,10
2573	790	0,48
790	745	0,33
745	254	1,37
254	2350	0,19
2350	1682	1,01
1682	1350	0,86
1350	986	0,18
986	936	1,00
936	1365	3,11
1365	2076	0,13
2076	866	0,03
866	459	0,41
459	218	0,11
218	2275	0,21
2275	948	0,96
948	191	1,02
191	2387	0,39
2387	899	0,91
899	1290	0,18
1290	1073	2,37
1073	2457	9,07
2457	1525	15,54
1525	292	7,06
292	2433	4,19
2433	2697	7,50
2697	380	7,78
380	1168	1,93
1168	1681	6,45
1168	2101	16,38
2101	1714	4,10
1714	1381	8,34
1381	1653	11,34
1653	1278	4,27
1278	612	7,36
612	1630	17,98
1630	1732	14,62
1732	1246	9,58
1246	1166	9,24
1166	265	16,21
265	1642	13,69
1642	1190	2,82
1190	1843	11,22
1843	521	4,01
521	1138	8,54
1138	486	6,09
486	1977	2,24
1977	2518	0,04
2518	1263	0,15
1263	1382	11,21
1382	1758	10,01
1758	2571	2,95
2571	1016	16,46
1263	463	17,05
1278	1212	15,16
1212	2094	0,86
2094	2395	3,87
2395	2598	18,21
