id (from)	id(to)	distance
4	1841	0,26
1841	2555	0,28
2555	573	0,17
573	318	0,86
318	209	0,10
209	1673	0,39
1673	1053	0,67
1053	180	0,07
180	600	0,24
600	867	0,21
867	1884	0,21
1884	723	0,59
723	767	0,15
767	2488	0,36
2488	1402	1,05
1402	2362	0,31
2362	1777	0,13
1777	1110	0,07
1110	1776	0,10
1776	2407	0,06
2407	1438	0,57
1438	2340	0,35
2340	626	0,13
626	183	0,12
183	106	0,58
106	1189	0,15
1189	1114	0,31
1114	1422	0,12
1422	2338	0,55
2338	282	0,32
282	1993	0,43
1993	899	0,57
899	1614	0,80
1614	1218	0,26
1218	1445	0,08
1445	77	0,56
77	587	0,57
587	1044	0,02
1044	2832	0,48
2832	939	0,07
939	2482	0,80
2482	2667	0,44
2667	1067	1,29
1067	2658	0,03
2658	277	0,59
277	853	0,49
853	2318	0,78
2318	2366	0,42
2366	1365	0,50
1365	2076	0,13
2076	866	0,03
866	459	0,41
459	218	0,11
218	2275	0,21
2275	948	0,96
948	1146	0,87
1146	446	0,05
446	2682	1,12
2682	1153	0,29
1153	2683	0,69
2683	2825	0,51
2825	496	0,24
496	549	0,63
549	2827	0,40
2827	822	0,97
822	2573	0,10
2573	790	0,48
790	745	0,33
745	421	0,95
421	402	0,25
402	254	1,09
254	1682	1,15
1682	1350	0,86
1350	936	1,10
936	73	1,42
73	2901	2,12
2901	191	2,70
191	216	1,11
216	271	0,34
271	965	0,05
965	571	1,25
571	1173	0,30
1173	1896	0,19
1896	2842	0,88
2842	563	0,09
563	2646	0,09
2646	300	0,45
300	456	0,47
456	2134	0,07
2134	691	0,11
691	2807	0,06
2807	602	0,09
602	1915	0,14
1915	2114	0,03
2114	439	0,24
439	1008	0,50
1008	930	0,67
930	1468	0,16
1468	1481	1,44
1481	2480	0,71
2480	19	0,48
19	333	0,69
333	2072	0,46
2072	2238	2,03
2238	2831	0,52
2831	5	0,47
5	478	0,28
478	2731	0,16
2731	1936	0,01
1936	1079	0,81
1079	60	0,16
60	2476	0,34
2476	1198	0,43
1198	2012	0,88
2012	903	1,58
903	2219	2,04
2219	1576	2,18
1576	375	5,89
375	1535	1,59
1535	522	11,64
522	1705	0,32
1705	2746	0,63
2746	2778	2,42
2778	1598	0,76
1598	308	1,07
308	974	0,89
974	415	1,00
415	2489	2,70
2489	2433	3,84
2433	1525	8,71
1525	380	10,43
380	2094	14,83
2094	1212	0,86
1212	2395	4,22
2395	2101	9,62
2101	1381	10,67
2395	2598	18,21
